
elementId,creatTime,classificationName,classificationNo,elementName
1,2014-05-21,安全诚信船舶,CB031400,7
2,2014-05-21,重点监护船舶,CB031300,7
3,2014-05-21,重点跟踪船舶,CB031200,7
4,2014-05-21,港务费,CB031100,7
5,2014-05-21,船舶滞留,CB031000,7
6,2014-05-21,港内动态,CB030900,7
7,2014-05-21,船舶动态,CB030800,7
8,2014-05-21,定期签证,CB030700,7
9,2014-05-21,拖载驳船签证,CB030600,7
10,2014-05-21,船舶签证,CB030500,7
11,2014-05-21,船舶查验,CB030400,7
12,2014-05-21,定期出口许可证,CB030300,7
13,2014-05-21,进口岸申请,CB030200,7
14,2014-05-21,动态信息-国际国内安检,CB030100,7
15,2014-05-21,船舶代理机构,CB021200,7
16,2014-05-21,船验机构,CB021100,7
17,2014-05-21,海事机构,CB021000,7
18,2014-05-21,最低配员2,CB020900,7
19,2014-05-21,停靠地点登记,CB020300,7
20,2014-05-21,相关证书,CB010300,7
21,2013-12-20,注销登记,CB020800,7
22,2013-12-20,变更登记,CB020200,7
23,2013-12-20,高速船登记,CB020700,7
24,2013-12-20,废钢船登记,CB020600,7
25,2013-12-20,抵押权登记,CB020500,7
26,2013-12-20,光船租赁登记,CB020400,7
27,2013-12-19,登记信息-所有权登记,CB020100,7
28,2013-12-19,最低配员,CB010400,7
29,2013-12-19,船舶基本动态,CB010200,7
30,2013-11-14,基本信息-船舶登记信息,CB010101,7
31,2016-05-25,应急管理-应急资源-应急队伍负责人,CK100102,2
32,2016-05-24,基础设施-城市客运枢纽,CK020300,2
33,2016-05-25,票制票价-票价信息-出租汽车票价,CK070102,2
34,2016-05-24,基础设施-车站-城市轮渡码头,CK020204,2
35,2016-05-24,运输装备-出租汽车-基本信息,CK030201,2
36,2016-05-24,运输装备-城市轮渡船舶-证件信息,CK030404,2
37,2016-05-24,基础设施-城市轨道交通车辆基地,CK020500,2
38,2016-05-24,行政管理-行政许可-决定信息类,CK050105,2
39,2016-05-23,机构及人员-管理人员信息,DY010202,2
40,2016-05-24,运营线路-线路站点信息,CK040300,2
41,2016-05-25,安全监督-安全检查-整改信息,CK090102,2
42,2016-05-25,行政管理-行政执法-执行信息,CK050204,2
43,2016-05-25,运行监测-车辆监控-城市公共自行车,CK060205,2
44,2016-05-25,应急管理-应急运力调度,CK100500,2
45,2016-05-24,行政管理-行政执法-立案信息,CK050201,2
46,2016-05-25,安全事故-事故上报信息,CK090202,2
47,2016-05-25,行政管理-业务办理文书,CK050300,2
48,2016-05-23,机构及人员-从业人员信息-继续教育信息,CK010206,2
49,2016-05-25,行政管理-行政执法-调查取证信息-违法行为通知及反馈处理信息,CK05020207,2
50,2016-05-24,基础设施-车站-车站（码头）附属设施,CK020206,2
51,2016-05-25,应急管理-突发事件,CK100300,2
52,2016-05-25,票制票价-票价信息-城市轮渡线路票价,CK070104,2
53,2016-05-23,机构及人员-从业人员信息-从业资格信息,CK010204,2
54,2016-05-25,安全监督-安全检查-检查基本信息,CK090101,2
55,2016-05-25,票制票价-公共交通乘车电子支付卡-卡消费信息,CK070202,2
56,2016-05-25,票制票价-票价信息-城市轨道交通线路票价,CK070103,2
57,2016-05-24,行政管理-行政许可-申请信息类-专项信息,CK05010202,2
58,2016-05-23,基础设施-车站-城市轨道交通车站,CK020203,2
59,2016-05-23,基础设施-车站-出租汽车站点,CK020202,2
60,2016-05-24,基础设施-保养场,CK020400,2
61,2016-05-24,行政管理-行政执法-调查取证信息-行政处罚询问及笔录信息,CK05020201,2
62,2016-05-23,基础设施-道路设施-城市道路,CK020101,2
63,2016-05-24,基础设施-停车场,CK020700,2
64,2016-05-24,运输装备-出租汽车-设备配备信息,CK030203,2
65,2016-05-24,运输装备-城市轮渡船舶-购置及使用信息,CK030402,2
66,2016-05-24,运输装备-公共汽电车-基本信息,CK030101,2
67,2016-05-25,应急管理-应急演练,CK100200,2
68,2016-05-24,行政管理-行政许可-证牌发放及相关信息类,CK050106,2
69,2016-05-24,运输装备-城市轨道交通车辆-设备配备信息,CK030303,2
70,2016-05-24,运营线路-线路基本信息,CK040100,2
71,2016-05-23,机构及人员-经营业户信息-注册信息,CK010205,2
72,2016-05-23,基础设施-道路设施-公交专用车道,CK020102,2
